Iteration=0, Total Loss: 421.95660400390625
Iteration=10, Total Loss: 111.2633285522461
Iteration=20, Total Loss: 100.27272033691406
Iteration=30, Total Loss: 90.96422576904297
Iteration=40, Total Loss: 91.95723724365234
Iteration=50, Total Loss: 86.76387023925781
Iteration=60, Total Loss: 79.18147277832031
Iteration=70, Total Loss: 73.29745483398438
Iteration=80, Total Loss: 71.82281494140625
Iteration=90, Total Loss: 67.880126953125
Iteration=100, Total Loss: 66.27362060546875
Iteration=110, Total Loss: 61.83852767944336
Iteration=120, Total Loss: 57.570579528808594
Iteration=130, Total Loss: 57.900428771972656
Iteration=140, Total Loss: 55.68793487548828
Iteration=150, Total Loss: 53.73093795776367
Iteration=160, Total Loss: 51.77370071411133
Iteration=170, Total Loss: 53.454994201660156
Iteration=180, Total Loss: 47.86043167114258
Iteration=190, Total Loss: 48.61156463623047
Iteration=200, Total Loss: 50.0598258972168
Iteration=210, Total Loss: 53.29927444458008
Iteration=220, Total Loss: 50.57260513305664
Iteration=230, Total Loss: 46.76529312133789
Iteration=240, Total Loss: 48.86807632446289
Iteration=250, Total Loss: 46.27552032470703
Iteration=260, Total Loss: 48.11747741699219
Iteration=270, Total Loss: 48.28110122680664
Iteration=280, Total Loss: 50.29627227783203
Iteration=290, Total Loss: 46.72935104370117
Iteration=300, Total Loss: 43.58909606933594
Iteration=310, Total Loss: 45.968666076660156
Iteration=320, Total Loss: 43.835689544677734
Iteration=330, Total Loss: 45.694091796875
Iteration=340, Total Loss: 42.501338958740234
Iteration=350, Total Loss: 44.8493537902832
Iteration=360, Total Loss: 39.11725997924805
Iteration=370, Total Loss: 42.50498580932617
Iteration=380, Total Loss: 42.144351959228516
Iteration=390, Total Loss: 40.97240447998047
Iteration=400, Total Loss: 41.024967193603516
Iteration=410, Total Loss: 41.563232421875
Iteration=420, Total Loss: 40.50978469848633
Iteration=430, Total Loss: 37.33491516113281
Iteration=440, Total Loss: 42.798133850097656
Iteration=450, Total Loss: 39.46739959716797
Iteration=460, Total Loss: 34.859676361083984
Iteration=470, Total Loss: 36.274513244628906
Iteration=480, Total Loss: 38.953369140625
Iteration=490, Total Loss: 37.69375228881836
Iteration=500, Total Loss: 36.41835021972656
Iteration=510, Total Loss: 35.343475341796875
Iteration=520, Total Loss: 35.3755989074707
Iteration=530, Total Loss: 34.065032958984375
Iteration=540, Total Loss: 34.5828971862793
Iteration=550, Total Loss: 37.52486801147461
Iteration=560, Total Loss: 38.74440383911133
Iteration=570, Total Loss: 32.24433898925781
Iteration=580, Total Loss: 31.015050888061523
Iteration=590, Total Loss: 33.88127899169922
Iteration=600, Total Loss: 31.985185623168945
Iteration=610, Total Loss: 31.76397705078125
Iteration=620, Total Loss: 32.72212219238281
Iteration=630, Total Loss: 30.892370223999023
Iteration=640, Total Loss: 27.685400009155273
Iteration=650, Total Loss: 27.680606842041016
Iteration=660, Total Loss: 28.891611099243164
Iteration=670, Total Loss: 27.56685447692871
Iteration=680, Total Loss: 25.302181243896484
Iteration=690, Total Loss: 23.999515533447266
Iteration=700, Total Loss: 26.14527130126953
Iteration=710, Total Loss: 29.0092716217041
Iteration=720, Total Loss: 22.74390983581543
Iteration=730, Total Loss: 23.294109344482422
Iteration=740, Total Loss: 24.95454978942871
Iteration=750, Total Loss: 24.475278854370117
Iteration=760, Total Loss: 27.49083709716797
Iteration=770, Total Loss: 22.51250457763672
Iteration=780, Total Loss: 22.01418113708496
Iteration=790, Total Loss: 23.55242156982422
Iteration=800, Total Loss: 21.3095760345459
Iteration=810, Total Loss: 20.7340087890625
Iteration=820, Total Loss: 21.431509017944336
Iteration=830, Total Loss: 20.970651626586914
Iteration=840, Total Loss: 20.196130752563477
Iteration=850, Total Loss: 19.62835693359375
Iteration=860, Total Loss: 19.09307098388672
Iteration=870, Total Loss: 20.259931564331055
Iteration=880, Total Loss: 20.95041847229004
Iteration=890, Total Loss: 21.75102996826172
Iteration=900, Total Loss: 19.13138771057129
Iteration=910, Total Loss: 18.48041534423828
Iteration=920, Total Loss: 18.429601669311523
Iteration=930, Total Loss: 18.719297409057617
Iteration=940, Total Loss: 16.06485366821289
Iteration=950, Total Loss: 15.200227737426758
Iteration=960, Total Loss: 17.26639747619629
Iteration=970, Total Loss: 14.426962852478027
Iteration=980, Total Loss: 16.369117736816406
Iteration=990, Total Loss: 14.395483016967773
Iteration=1000, Total Loss: 15.018386840820312
Iteration=1010, Total Loss: 13.256994247436523
Iteration=1020, Total Loss: 13.257037162780762
Iteration=1030, Total Loss: 14.308780670166016
Iteration=1040, Total Loss: 14.473448753356934
Iteration=1050, Total Loss: 12.488593101501465
Iteration=1060, Total Loss: 13.158424377441406
Iteration=1070, Total Loss: 11.785187721252441
Iteration=1080, Total Loss: 12.901185035705566
Iteration=1090, Total Loss: 11.946544647216797
Iteration=1100, Total Loss: 11.76937198638916
Iteration=1110, Total Loss: 10.663786888122559
Iteration=1120, Total Loss: 10.462839126586914
Iteration=1130, Total Loss: 10.147047996520996
Iteration=1140, Total Loss: 10.22486686706543
Iteration=1150, Total Loss: 9.136405944824219
Iteration=1160, Total Loss: 9.711638450622559
Iteration=1170, Total Loss: 11.433897018432617
Iteration=1180, Total Loss: 9.079041481018066
Iteration=1190, Total Loss: 8.54708194732666
Iteration=1200, Total Loss: 8.705965042114258
Iteration=1210, Total Loss: 8.981781005859375
Iteration=1220, Total Loss: 10.691866874694824
Iteration=1230, Total Loss: 8.457539558410645
Iteration=1240, Total Loss: 9.224604606628418
Iteration=1250, Total Loss: 6.754181385040283
Iteration=1260, Total Loss: 8.52054500579834
Iteration=1270, Total Loss: 7.80709171295166
Iteration=1280, Total Loss: 7.499706268310547
Iteration=1290, Total Loss: 5.739638805389404
Iteration=1300, Total Loss: 8.182849884033203
Iteration=1310, Total Loss: 7.255207061767578
Iteration=1320, Total Loss: 7.3014044761657715
Iteration=1330, Total Loss: 7.630134105682373
Iteration=1340, Total Loss: 6.545214653015137
Iteration=1350, Total Loss: 7.740383625030518
Iteration=1360, Total Loss: 7.217110633850098
Iteration=1370, Total Loss: 5.788405895233154
Iteration=1380, Total Loss: 6.307554244995117
Iteration=1390, Total Loss: 6.484537124633789
Iteration=1400, Total Loss: 7.001867771148682
Iteration=1410, Total Loss: 7.263772487640381
Iteration=1420, Total Loss: 5.0640339851379395
Iteration=1430, Total Loss: 6.38906192779541
Iteration=1440, Total Loss: 7.046036720275879
Iteration=1450, Total Loss: 5.910007476806641
Iteration=1460, Total Loss: 6.561167240142822
Iteration=1470, Total Loss: 7.70704460144043
Iteration=1480, Total Loss: 7.4401655197143555
Iteration=1490, Total Loss: 6.267555236816406
Iteration=1500, Total Loss: 5.818066120147705
Iteration=1510, Total Loss: 5.828359603881836
Iteration=1520, Total Loss: 6.655705451965332
Iteration=1530, Total Loss: 5.706844329833984
